"sample","chromosome","group","strand","piN","piS","piN.piS","pi"
"EntNic_DoeJ-C27","HiC_scaffold_4","Grassland","minus",0.00167967690334714,0.0114722366675893,0.146412,0.0112029
"EntNic_DoeJ-C27","HiC_scaffold_5","Grassland","plus",0.00260835691785465,0.014620359800526,0.178406,0.0127614
"EntNic_DoeJ-C27","HiC_scaffold_5","Grassland","minus",0.00241167260696562,0.0138787774672038,0.173767,0.0127614
"EntNic_DoeJ-C27","HiC_scaffold_6","Grassland","plus",0.00178337299534138,0.0145563132170151,0.122515,0.0112393
"EntNic_DoeJ-C27","HiC_scaffold_6","Grassland","minus",0.00172238214607718,0.0134292225768234,0.128256,0.0112393
"EntNic_DoeJ-C27","HiC_scaffold_7","Grassland","plus",0.00163808188983495,0.00672912171075354,0.243432,0.0207271
"EntNic_DoeJ-C27","HiC_scaffold_7","Grassland","minus",0.00153673830521704,0.00637946739729882,0.240888,0.0207271
"EntNic_DSJ-C190","HiC_scaffold_1","Grassland","plus",0.00175118274636502,0.00913275408825647,0.191747,0.0148096
"EntNic_DSJ-C190","HiC_scaffold_1","Grassland","minus",0.00170969053887213,0.00903240082501239,0.189284,0.0148096
"EntNic_DSJ-C190","HiC_scaffold_2","Grassland","plus",0.000782593216191312,0.003717179451647,0.210534,0.0037929
"EntNic_DSJ-C190","HiC_scaffold_2","Grassland","minus",0.000804415358530993,0.0040054625616151,0.20083,0.0037929
"EntNic_DSJ-C190","HiC_scaffold_3","Grassland","plus",0.00170650332837859,0.00967002610979243,0.176473,0.011272
"EntNic_DSJ-C190","HiC_scaffold_3","Grassland","minus",0.00159449920414594,0.00917196227550736,0.173845,0.011272
"EntNic_DSJ-C190","HiC_scaffold_4","Grassland","plus",0.0013474896192415,0.00889945913024252,0.151413,0.0101971
"EntNic_DSJ-C190","HiC_scaffold_4","Grassland","minus",0.00131539905861228,0.00867948359586142,0.151553,0.0101971
"EntNic_DSJ-C190","HiC_scaffold_5","Grassland","plus",0.00184423471233453,0.0106392651358862,0.173342,0.0113849
"EntNic_DSJ-C190","HiC_scaffold_5","Grassland","minus",0.00171319095043207,0.0102797210739081,0.166657,0.0113849
"EntNic_DSJ-C190","HiC_scaffold_6","Grassland","plus",0.00131091054131603,0.0111977587830604,0.117069,0.0102286
"EntNic_DSJ-C190","HiC_scaffold_6","Grassland","minus",0.00125697950396105,0.0101223576080507,0.124179,0.0102286
"EntNic_DSJ-C190","HiC_scaffold_7","Grassland","plus",0.001053816626312,0.00451335362766533,0.233489,0.0198557
"EntNic_DSJ-C190","HiC_scaffold_7","Grassland","minus",0.000953610790735341,0.00417981340098537,0.228147,0.0198557
"EntNic_FHJ-C38","HiC_scaffold_1","Grassland","plus",0.00258955241412179,0.0132264157379611,0.195786,0.0174459
"EntNic_FHJ-C38","HiC_scaffold_1","Grassland","minus",0.00256885867939836,0.0130229355354858,0.197256,0.0174459
"EntNic_FHJ-C38","HiC_scaffold_2","Grassland","plus",0.00112532585666602,0.00585076212823681,0.192338,0.00480577
"EntNic_FHJ-C38","HiC_scaffold_2","Grassland","minus",0.00122194905948886,0.0061562165077929,0.19849,0.00480577
"EntNic_FHJ-C38","HiC_scaffold_3","Grassland","plus",0.00256550600529614,0.0137986256114487,0.185925,0.0142416
"EntNic_FHJ-C38","HiC_scaffold_3","Grassland","minus",0.00239298529552668,0.0133858531525846,0.17877,0.0142416
"EntNic_FHJ-C38","HiC_scaffold_4","Grassland","plus",0.00195971034988777,0.012357159855004,0.158589,0.0117863
"EntNic_FHJ-C38","HiC_scaffold_4","Grassland","minus",0.00195652322876886,0.0122549127545617,0.159652,0.0117863
"EntNic_FHJ-C38","HiC_scaffold_5","Grassland","plus",0.00271428295280219,0.0152653503509302,0.177807,0.0145899
"EntNic_FHJ-C38","HiC_scaffold_5","Grassland","minus",0.00255612228051714,0.0150381595246764,0.169976,0.0145899
"EntNic_FHJ-C38","HiC_scaffold_6","Grassland","plus",0.00169709925441058,0.0142977551768381,0.118697,0.0116621
"EntNic_FHJ-C38","HiC_scaffold_6","Grassland","minus",0.00170801092747397,0.013457997899186,0.126914,0.0116621
"EntNic_FHJ-C38","HiC_scaffold_7","Grassland","plus",0.00166097270749721,0.00675252367937399,0.245978,0.0205201
"EntNic_FHJ-C38","HiC_scaffold_7","Grassland","minus",0.0015112053825484,0.00639816714029893,0.236193,0.0205201
"EntNic_FUR-C230","HiC_scaffold_1","Grassland","plus",0.00240194322970586,0.0124003594803542,0.193699,0.016406
"EntNic_FUR-C230","HiC_scaffold_1","Grassland","minus",0.00235850402640177,0.0120546236458029,0.195651,0.016406
"EntNic_FUR-C230","HiC_scaffold_2","Grassland","plus",0.000982863562170431,0.00458800347123535,0.214225,0.00374932
"EntNic_FUR-C230","HiC_scaffold_2","Grassland","minus",0.000973790791398185,0.00441408413461449,0.22061,0.00374932
"EntNic_FUR-C230","HiC_scaffold_3","Grassland","plus",0.00231536519163531,0.0126448704903415,0.183107,0.0126441
"EntNic_FUR-C230","HiC_scaffold_3","Grassland","minus",0.00220730806584568,0.012229042095157,0.180497,0.0126441
"EntNic_FUR-C230","HiC_scaffold_4","Grassland","plus",0.00157320393317786,0.0110235911642341,0.142712,0.011077
"EntNic_FUR-C230","HiC_scaffold_4","Grassland","minus",0.00161892448713749,0.0110166902616982,0.146952,0.011077
"EntNic_FUR-C230","HiC_scaffold_5","Grassland","plus",0.00256887867829066,0.0145701991248627,0.17631,0.0137839
"EntNic_FUR-C230","HiC_scaffold_5","Grassland","minus",0.00239671941475363,0.0141207819229086,0.16973,0.0137839
"EntNic_FUR-C230","HiC_scaffold_6","Grassland","plus",0.00167415141139681,0.0137246013477474,0.121982,0.0110649
